Recipient Primary Major,Recipient Secondary Majors,Recipient Graduation Date,Recipient Education Level,Recipient Primary College,Recipient Gender,Recipient Ethnicity,Recipient Visa Status,Recipient Veteran Status,Recipient First Generation,Recipient Athlete Status,Recipient Hometown,Recipient Graduation Group Name,Response Primary Major,Response Secondary Majors,Response Education Level,Response Graduation Date,Response Primary College,Response Status,Response Date,Outcome,Employer Name,Employer Industry,Employment Category,Employment Type,Job Function,Job Position,Found through Handshake,Employed During Education,Internship,Continuing Education School,Continuing Education Level,Continuing Education Major,Is Fellowship?,Fellowship Name,Military Branch,Military Rank,Specialization,Still Looking Option,Not Seeking Option,Location,Offer Date,Accept Date,Start Date,Annual Salary,Pay Schedule,Bonus Amount,Other Compensation,Authorized to work in US?,Knowledge Response?,Knowledge Source,How many additional offers did you receive?,In how many different positions will you be employed?,Which of the following best describes your primary position?,Which of the following best describes your view of your primary position?,How related is this position to your degree? ,Which of the following helped you find and/or obtain this position?  (Please select ALL that apply),How many additional organizations did you volunteer with during your time at Belmont?,Did you look for full time employment before deciding to go to graduate school?,Indicate how the university you will be/are attending ranks in regard to your choice:,What type of degree or continue education credit do you plan on earning?,Which of the following best describes this position?,What types of opportunities are you looking for?,How many times did you use the services or resources of your career development office?,How many times did you use the services or resources of your career development office?,"While studying for your degree, did you do any of the following? (Please select ALL that apply)",How likely would you recommend using the services and resources available through your Career Development office to a future student?
MBA - Accelerated,,8/21/2018,Masters,College of Business,,,U.S. Citizen,,,,,,MBA - Accelerated,,Masters,8/1/2018,,submitted,2019-12-12 22:30:27 UTC,Working,Parallon,Healthcare,Organization,Full-Time,General Management,Manager In Training,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,1/1/2019,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
MBA - Accelerated,,8/28/2018,Masters,College of Business,,,U.S. Citizen,,,,,,MBA - Accelerated,,Masters,10/8/2018,,submitted,2018-11-27 20:17:44 UTC,Working,Kansas State University,,Organization,Full-Time,,Event Coordinator,,,,,,,,,,,,,,"Manhattan, Kansas, United States of America",,9/1/2018,9/1/2018,,,,,,,Survey Response,,,,,,,,,,,,,,,,
MBA - Accelerated,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,MBA - Accelerated,,Masters,10/1/2018,,submitted,2018-11-27 20:25:41 UTC,Working,Holiday Retirement,,Organization,Full-Time,,Sales Leader,,,,,,,,,,,,,,"Paducah, Kentucky, United States of America",,10/1/2018,10/1/2018,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
MBA - Accelerated,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,MBA - Accelerated,,Masters,10/8/2018,,submitted,2018-11-27 20:29:22 UTC,Working,i3 Verticles,,Organization,Full-Time,,Human Resources/Office Manager,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,9/1/2018,9/1/2018,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2018-12-09 15:38:32 UTC,Working,Censis Technologies,Healthcare,Organization,Full-Time,Customer/Technical Support,Service Delivery Specialist,,Yes,,,,,,,,,,,,"Franklin, Tennessee, United States of America",3/15/2018,3/16/2018,4/12/2018,38400,Annual Salary,0,2000,TRUE,,Survey Response,0,Only 1 position,This was the same position as when I was a student,This is a professional position that aligns with my short term career goals,3,My personal contacts (family and/or friends),,,,,,,,,Full-time job,4
Professional MBA,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,5/1/2019,,submitted,2019-05-02 20:40:30 UTC,Working,Ajax Turner Company Inc.,Food & Beverage,Organization,Full-Time,Logistics & Supply Chain,Special Projects Coordinator ,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",1/1/2018,1/1/2018,,41600,Annual Salary,,,,,Survey Response,0,Only 1 position,New or better position with the same employer / organization since graduation,This is a professional position that aligns with my long term career goals,4,My personal contacts (family and/or friends),,,,,,,,,Full-time job,4
Professional MBA,,8/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/1/2018,,submitted,2018-12-06 19:23:28 UTC,Working,Belmont University,Higher Education,Organization,Full-Time,Administration,Program Assistant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/1/2013,10/1/2013,10/1/2013,45000,Annual Salary,,,,,Survey Response,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/1/2018,,submitted,2018-12-06 20:08:07 UTC,Working,BMG Rights Management,,Organization,Full-Time,"Advertising, Media & PR","Senior Coordinator, Copyright Administration",,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",9/1/2017,9/1/2017,9/1/2017,50000,Annual Salary,,,,,Survey Response,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/1/2018,,submitted,2018-12-06 20:05:45 UTC,Working,Franklin Synergy Bank,,Organization,Full-Time,Finance,Mortgage Loan Officer,,,,,,,,,,,,,,"Franklin, Tennessee, United States of America",8/1/2017,8/1/2017,8/1/2017,50000,Annual Salary,,,,,Survey Response,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-11 22:10:04 UTC,Working,ProQuest,Research,Organization,Full-Time,Purchasing,Content Manager,,Yes,,,,,,,,,,,,"La Vergne, Tennessee, United States of America",,,,54000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/20/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2018-11-15 17:56:04 UTC,Working,"Cardinal Health, Inc.",Healthcare,Organization,Full-Time,Operations / Production,Warehouse Supervisor,,Yes,,,,,,,,,,,,"La Vergne, Tennessee, United States of America",3/5/2018,3/5/2018,11/19/2018,60000,Annual Salary,,,TRUE,,Survey Response,0,Only 1 position,This was the same position as when I was a student,This is a transitional or temporary position that I've taken while I seek a job that is more in line with what I'd like to do,3,"An online job posting and/or social media site (LinkedIn, Indeed, company websites)",,,,,,,,,Part-time job,3
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 15:43:42 UTC,Working,Wolverine Worldwide,Retail Stores,Organization,Full-Time,General Management,Store Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,1/1/2015,62000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 18:46:36 UTC,Working,Cumberland Trust,Investment / Portfolio Management,Organization,Full-Time,Administration,Trust Administrator,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,3/1/2019,65000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 19:14:46 UTC,Working,FedEx,Transportation & Logistics,Organization,Full-Time,Operations / Production,Operations Supervisor,,Yes,,,,,,,,,,,,"Lebanon, Tennessee, United States of America",,,9/1/2016,65000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2018-12-20 20:01:04 UTC,Working,Nashville Symphony,Non-Profit - Other,Organization,Full-Time,Data & Analytics,Director of Research and Data Services,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",8/1/2018,8/1/2018,,65000,Annual Salary,,,TRUE,,Survey Response,0,Only 1 position,This was the same position as when I was a student,This is a professional position that aligns with my short term career goals,4,My personal contacts (family and/or friends),,,,,,,,,Full-time job,4
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,Business Intelligence,Masters,12/1/2018,,submitted,2018-11-26 15:07:22 UTC,Working,"Optum, a UnitedHealth Group Company",Healthcare,Organization,Full-Time,Operations / Production,Business Analyst,,,,,,,,,,,,,,"Brentwood, Tennessee, United States of America",11/19/2018,11/19/2018,12/3/2018,70000,Annual Salary,0,,TRUE,,Survey Response,2,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my short term career goals,4,"An online job posting and/or social media site (LinkedIn, Indeed, company websites)",,,,,,,,,Full-time job,3
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/1/2018,,submitted,2018-12-06 19:59:11 UTC,Working,MEDHOST,,Organization,Full-Time,Information Technology,Focus Manager,,,,,,,,,,,,,,"Franklin, Tennessee, United States of America",6/1/2018,6/1/2018,6/1/2018,70000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,5/1/2019,,submitted,2019-12-11 21:52:18 UTC,Working,ASCAP,"Movies, TV, Music",Organization,Full-Time,Marketing - General,Licensing Marketing Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,6/1/2015,82000,Annual Salary,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/20/2018,Masters,College of Business,,,,,,,,,Professional MBA,Health Care Management,Masters,12/1/2018,,submitted,2018-12-18 20:34:08 UTC,Working,Wipro Technologies,Internet & Software,Organization,Full-Time,Data & Analytics,Tech lead,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",12/18/2016,12/20/2016,1/3/2017,87000,Annual Salary,,3000,,,Survey Response,1,Only 1 position,This was the same position as when I was a student,This is a professional position that aligns with my short term career goals,4,My personal contacts (family and/or friends),,,,,,,,,Full-time job,5
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 19:06:55 UTC,Working,Boston Scientific,Biotech & Life Sciences,Organization,Full-Time,Business Development,Associate Territory Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,5/1/2018,89000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 15:38:05 UTC,Working,United Parcel Service (UPS),Transportation & Logistics,Organization,Full-Time,Business Development,Account Exective,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,6/1/2018,92000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/8/2018,,submitted,2018-12-06 19:56:00 UTC,Working,Lee Company,Management Consulting,Organization,Full-Time,,Director of Project Design and Estimating,,,,,,,,,,,,,,"Franklin, Tennessee, United States of America",,,,100000,Annual Salary,,,,,Survey Response,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/8/2018,,submitted,2018-12-06 20:03:31 UTC,Working,Nissan North America,,Organization,Full-Time,Marketing - General,Senior Planner,,,,,,,,,,,,,,"Franklin, Tennessee, United States of America",6/1/2018,6/1/2018,6/1/2018,100000,Annual Salary,,,,,Survey Response,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/1/2018,,submitted,2018-12-06 19:13:12 UTC,Working,Nissan North America,Manufacturing - Other,Organization,Full-Time,Operations / Production,Manager Manufacturing Quality ,,,,,,,,,,,,,,"Smyrna, Tennessee, United States of America",1/1/2017,1/1/2017,1/1/2017,100000,Annual Salary,,,,,Survey Response,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/8/2018,,submitted,2018-12-06 19:33:56 UTC,Working,Red Bull North America,,Organization,Full-Time,Sales,Key Account Manager - Walmart,,,,,,,,,,,,,,"Chicago, Illinois, United States of America",5/1/2018,5/1/2018,7/1/2018,100000,Annual Salary,,,,,Survey Response,,,New position and a new employer / organization since graduation,,,Having an internship or experiential education experience with this organization during my time at Belmont,,,,,,,,,,
Professional MBA,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,5/1/2019,,submitted,2019-12-12 20:05:37 UTC,Working,Asurion,Internet & Software,Organization,Full-Time,General Management,"Senior Manager, Supply Chain Program Management",,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,10/1/2018,100000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 19:10:55 UTC,Working,Caterpillar Financial,Commercial Banking & Credit,Organization,Full-Time,Product / Project Management,Digital Product Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,6/1/2018,112000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,5/1/2019,Masters,College of Business,,,,,,,,,Law,Professional MBA,Doctorate,5/1/2019,,submitted,2019-11-20 20:29:21 UTC,Still Looking,,,,,,,,,,,,,,,,,,Employment,,,,,,,,,,,,Survey Response,,,,,,,,,,,,,1 to 3,,,4
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/8/2018,,submitted,2018-12-07 15:24:38 UTC,Working,Corrections Corporation of America,,Organization,Full-Time,,"Managing Director, Program Management Office",,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",3/1/2015,3/1/2015,3/1/2015,,,,,,Yes,LinkedIn,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/8/2018,,submitted,2018-12-07 15:21:54 UTC,Working,Formos Consulting,,Organization,Full-Time,,Senior Financial Consultant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",12/1/2015,12/1/2015,12/1/2015,,,,,,Yes,LinkedIn,,,This was the same position as when I was a student,,,,,,,,,,,,,
Professional MBA,,10/8/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,10/8/2018,,submitted,2018-12-06 19:37:20 UTC,Working,HCA Healthcare,Healthcare,Organization,Full-Time,,Associate Director of Supply Chain,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",9/1/2018,9/1/2018,9/1/2018,,,,,,Yes,LinkedIn,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 18:49:55 UTC,Working,Caterpillar Financial,Commercial Banking & Credit,Organization,Full-Time,Business Development,Area Sales Manager,,Yes,,,,,,,,,,,,"Houston, Texas, United States of America",,,9/1/2013,,,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 19:25:16 UTC,Working,Doss Enterprises,,Organization,Full-Time,Marketing - General,Marketing Operations Manager,,Yes,,,,,,,,,,,,"Franklin, Tennessee, United States of America",,,11/1/2018,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 19:57:47 UTC,Working,HCA Healthcare,Healthcare,Temporary/Contract Work Assignment,Full-Time,Marketing - Brand Management,Brand Content Specialist,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,9/1/2018,,,,,,,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 19:03:12 UTC,Working,HCA Physician Services Group,Healthcare,Organization,Full-Time,General Management,Manager of Application Development,,Yes,,,,,,,,,,,,"Brentwood, Tennessee, United States of America",,,12/1/2018,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 18:55:17 UTC,Working,Nashville Armory,Retail Stores,Organization,Full-Time,General Management,Assistant General Manager/Account Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,5/1/2012,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/1/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-11 21:22:24 UTC,Working,PATH EX Inc,,Entrepreneur,Full-Time,General Management,COO/Founder,,Yes,,,,,,,,,,,,"Houston, Texas, United States of America",,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,12/20/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,12/1/2018,,submitted,2019-12-12 20:36:45 UTC,Working,HCA Healthcare,Healthcare,Organization,Full-Time,Information Technology,Consulting Application Engineer,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,8/1/2018,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,5/1/2019,,submitted,2019-12-12 20:44:45 UTC,Working,UBS,Investment / Portfolio Management,Organization,Full-Time,,Insurance and Annuity Specialist,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,7/1/2014,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Professional MBA,,Masters,5/1/2019,,submitted,2019-12-12 22:15:16 UTC,Working,Wright Industries,,Organization,Full-Time,Product / Project Management,Project Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Professional MBA,,,Masters,College of Business,,,U.S. Citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Entrepreneurship,Economics,4/5/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Economics,,Bachelors,5/1/2019,,submitted,2019-04-25 17:46:07 UTC,Continuing Education,,,,,,,,,,Southern Methodist University,Masters,Applied Statistics and Data Analytics,,,,,,,,"Dallas, Texas, United States of America",,,,,,,,,,Survey Response,,,,,,,,Yes,First choice,Master of Arts or Science (M.A. or M.S),,,,,,1
Social Entrepreneurship,,5/20/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,5/1/2019,,submitted,2019-04-25 17:42:09 UTC,Working,AmeriCorps,Non-Profit - Other,Organization,Full-Time,Community & Social Services,AC Service Corps,,,,,,,,,,,,,,"New York City, New York, United States of America",4/1/2019,4/1/2019,7/1/2019,19200,Annual Salary,,200,,,Survey Response,2,,New position and a new employer / organization since graduation,,5,"Having an internship or experiential education experience with this organization during my time at Belmont, One of my professors or my academic advisor, A job posting or resume referral through Handshake (formerly CareerConnector), An online job posting and/or social media site (LinkedIn, Indeed, company websites), My personal contacts (family and/or friends)",,,,,,,,,,5
Social Entrepreneurship,,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,5/1/2019,,submitted,2019-04-19 19:36:07 UTC,Working,Altar'd State,Retail Stores,Organization,Full-Time,Sales,Brand Representative,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",9/1/2017,9/1/2017,9/1/2017,19760,Annual Salary,,,,,Survey Response,0,Only 1 position,This was the same position as when I was a student,This is a transitional or temporary position that I've taken while I seek a job that is more in line with what I'd like to do,1,Other: a friend worked there,,,,,,,,,Part-time job,3
Social Entrepreneurship,,4/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,Spanish,Bachelors,5/1/2019,,submitted,2019-11-12 22:51:11 UTC,Working,Nashville Zoo,Non-Profit - Other,Organization,Full-Time,Fundraising & Event Management,Special Event Coordinator 1,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",11/5/2019,11/7/2019,11/18/2019,29120,Annual Salary,,,,,Survey Response,1,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,3,"Having an internship or experiential education experience with this organization during my time at Belmont, An event, service, or direct connection supported by Belmont's Career Development Team, An online job posting and/or social media site (LinkedIn, Indeed, company websites), A Belmont alumnus",,,,,,,,,"Part-time job, Voluntary work (not for convocation credit)",3
Social Entrepreneurship,,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,5/1/2019,,submitted,2019-04-26 14:14:55 UTC,Still Looking,,,,,,,,,,,,,,,,,,Employment,,,,,,,,,,,,Survey Response,,,,,,,,,,,,Mentoring/working with youth; Educating youth,,,,4
Social Entrepreneurship,,8/1/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,8/1/2018,,submitted,2019-04-05 22:16:36 UTC,Working,Young Life International,Religious Work,Organization,Full-Time,,,,,,,,,,,,,,,,"Indiana, United States of America",,,,,,,,,,Survey Response,,,,,,,,,,,,,,,,
Social Entrepreneurship,,12/1/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,12/1/2018,,submitted,2019-06-28 19:54:31 UTC,Working,Blackburn Communities,,Organization,Full-Time,,New Home Sales Consultant,,,,,,,,,,,,,,"Austin, Texas, United States of America",,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Social Entrepreneurship,,12/1/2018,Bachelors,College of Business,Female,Prefer Not to Answer,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,12/1/2018,,submitted,2019-04-11 14:23:56 UTC,Working,eduKenya,Non-Profit - Other,Organization,Full-Time,,Director of Communications,,,,,,,,,,,,,,"Nolensville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,,,,,,,,,
Social Entrepreneurship,,12/25/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,12/14/2018,,submitted,2019-01-10 21:32:00 UTC,Working,Nashville Entrepreneur Center,,Organization,Full-Time,,Program Coordinator,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,,Survey Response,,,,,,,,,,,,,,,,
Social Entrepreneurship,,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,5/1/2019,,submitted,2019-07-22 18:41:37 UTC,Working,GlobalGiving Foundation Inc.,Non-Profit - Other,Organization,Full-Time,Other,Program Fellow,,,,,,,,,,,,,,"Washington, District of Columbia, United States of America",,,6/1/2019,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Social Entrepreneurship,,,Bachelors,College of Business,,,U.S. Citizen,,,,,,Social Entrepreneurship,,Bachelors,,,submitted,2018-12-13 17:40:52 UTC,Working,Kindful,,Organization,Full-Time,,Customer Success Representative,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,12/3/2018,1/2/2019,,,,38000,,,Survey Response,,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my short term career goals,,"Having an internship or experiential education experience with this organization during my time at Belmont, One of my professors or my academic advisor, A Belmont alumnus",,,,,,,,,,
Social Entrepreneurship,,,Bachelors,College of Business,,,U.S. Citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio and Video Production,,5/2/2019,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,,,Audio and Video Production,,Bachelors,5/1/2019,,submitted,2019-12-02 15:47:54 UTC,Working,Belmont University,Higher Education,Organization,Full-Time,,"Event Services, Technical Operator",,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Audio and Video Production,,12/1/2018,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,,,Audio and Video Production,,Bachelors,12/1/2018,,submitted,2019-07-09 14:59:32 UTC,Working,Self-employed,"Movies, TV, Music",Freelancer,Part-Time,Other,Photographer and Videographer,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,12/4/2018,,,,,,Yes,Survey Response,,Only 1 position,,This is a professional position that aligns with my short term career goals,,,,,,,,,,,,5
Audio and Video Production,,1/1/2018,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,"Pittsburgh, Pennsylvania, United States",,Audio and Video Production,,Bachelors,12/1/2018,,submitted,2019-06-25 16:44:16 UTC,Working,Five Points Pizza,Restaurants & Food Service,Organization,Part-Time,,Server,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,5/8/2017,,,,,,Yes,Survey Response,,Only 1 position,This was the same position as when I was a student,This is a transitional or temporary position that I've taken while I seek a job that is more in line with what I'd like to do,3,,,,,,,,,,Part-time job,3
Audio and Video Production,,12/1/2018,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,,,Audio and Video Production,,Bachelors,12/1/2018,,submitted,2019-06-27 16:47:14 UTC,Working,Self-employed,"Movies, TV, Music",Freelancer,Part-Time,Other,Musician,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,Yes,Survey Response,,,,This is a professional position that aligns with my short term career goals,5,,,,,,,,,,,
Audio and Video Production,,5/1/2019,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,,,Audio and Video Production,,Bachelors,5/1/2019,,submitted,2019-11-11 15:48:51 UTC,Working,Southern Word,,Organization,Part-Time,,Student Mentor,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,,,,,,,Yes,Survey Response,,,,,,,,,,,,,,,,
Audio Engineering Technology,Honors,5/1/2019,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,,,Audio Engineering Technology,Honors,Bachelors,5/1/2019,,submitted,2019-05-02 15:11:46 UTC,Working,Self-employed,"Movies, TV, Music",Freelancer,Full-Time,Design / Art,Music Producer,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",2/1/2019,2/1/2019,2/1/2019,35360,Annual Salary,0,0,,,Survey Response,0,3 or more positions,This was the same position as when I was a student,This is a professional position that aligns with my short term career goals,5,One of my professors or my academic advisor,,,,,,,,,Part-time job,4
Audio Engineering Technology,Honors,1/1/2019,Bachelors,College of Entrmnt/Musc Busnes,,,U.S. Citizen,,,,,,Audio Engineering Technology,"Honors, Computer Science",Bachelors,5/1/2019,,submitted,2019-03-28 19:38:51 UTC,Working,Matt Stell,"Movies, TV, Music",Freelancer,Full-Time,General Management,Tour Manager,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",1/30/2019,1/31/2019,1/31/2019,104000,Annual Salary,0,,TRUE,,Survey Response,1,2 positions,This was the same position as when I was a student,This is a professional position that aligns with my short term career goals,4,My personal contacts (family and/or friends),,,,,,,,,Part-time job,4
