Recipient Primary Major,Recipient Secondary Majors,Recipient Graduation Date,Recipient Education Level,Recipient Primary College,Recipient Gender,Recipient Ethnicity,Recipient Visa Status,Recipient Veteran Status,Recipient First Generation,Recipient Athlete Status,Recipient Hometown,Recipient Graduation Group Name,Response Primary Major,Response Secondary Majors,Response Education Level,Response Graduation Date,Response Primary College,Response Status,Response Date,Outcome,Employer Name,Employer Industry,Employment Category,Employment Type,Job Function,Job Position,Found through Handshake,Employed During Education,Internship,Continuing Education School,Continuing Education Level,Continuing Education Major,Is Fellowship?,Fellowship Name,Military Branch,Military Rank,Specialization,Still Looking Option,Not Seeking Option,Location,Offer Date,Accept Date,Start Date,Annual Salary,Pay Schedule,Bonus Amount,Other Compensation,Authorized to work in US?,Knowledge Response?,Knowledge Source,How many additional offers did you receive?,In how many different positions will you be employed?,Which of the following best describes your primary position?,Which of the following best describes your view of your primary position?,How related is this position to your degree? ,Which of the following helped you find and/or obtain this position?  (Please select ALL that apply),How many additional organizations did you volunteer with during your time at Belmont?,Did you look for full time employment before deciding to go to graduate school?,Indicate how the university you will be/are attending ranks in regard to your choice:,What type of degree or continue education credit do you plan on earning?,Which of the following best describes this position?,What types of opportunities are you looking for?,How many times did you use the services or resources of your career development office?,How many times did you use the services or resources of your career development office?,"While studying for your degree, did you do any of the following? (Please select ALL that apply)",How likely would you recommend using the services and resources available through your Career Development office to a future student?
Accounting,,8/10/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,8/10/2018,,submitted,2018-08-06 16:08:38 UTC,Working,Sarah Cannon Research Institute,Healthcare,Organization,Full-Time,,Financial Analyst,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",7/2/2018,7/2/2018,8/6/2018,45760,Annual Salary,,,,Yes,Survey Response,,,New position and a new employer / organization since graduation,,,My personal contacts (family and/or friends),,,,,,,,,,
Accounting,,5/11/2019,Masters,College of Business,Male,,Permanent U.S. Resident,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-12 21:10:58 UTC,Working,i3 verticals,Other Industries,Organization,Full-Time,Accounting,staff Accountant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,2/1/2019,2/1/2019,49000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,5/5/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-22 20:10:28 UTC,Working,EY,Accounting,Organization,Full-Time,,Audit Intern,Yes,,Yes,,,,,,,,,,,"Nashville, Tennessee, United States of America",,6/1/2018,6/1/2019,49200,Annual Salary,,,,,Survey Response,,,,,5,,,,,,,,,,,5
Accounting,,5/1/2019,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,5/1/2019,,submitted,2019-04-29 18:09:21 UTC,Working,"Frazier & Deeter, LLC",Accounting,Organization,Full-Time,Accounting,Tax Intern,,Yes,Yes,,,,,,,,,,,"Atlanta, Georgia, United States of America",6/1/2018,,6/1/2019,49920,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,12/1/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,12/1/2018,,submitted,2018-11-29 19:58:05 UTC,Working,Compass East,,Organization,Full-Time,,Staff Accountant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/1/2018,10/1/2018,1/1/2019,50000,Annual Salary,,,,,Survey Response,,,New or better position with the same employer / organization since graduation,,5,Having an internship or experiential education experience with this organization during my time at Belmont,,,,,,,,,,
Accounting,,12/1/2018,Masters,College of Business,,,Permanent U.S. Resident,,,,,,Accounting,,Masters,12/1/2018,,submitted,2019-12-12 20:01:43 UTC,Working,Gresham Smith,Architecture and Planning,Organization,Full-Time,Accounting,Project Accountant,,Yes,,,,,,,,,,,,"Nashville, Tennessee, United States of America",,,8/1/2017,50000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
Accounting,,12/6/2018,Bachelors,College of Business,,,U.S. Citizen,,,,,,Accounting,,Bachelors,12/6/2018,,submitted,2018-11-29 19:46:17 UTC,Working,Compass East,,Organization,Full-Time,,Staff Accountant,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/1/2018,10/1/2018,1/1/2019,50000,Annual Salary,,,,,Survey Response,3,,,,3,"Having an internship or experiential education experience with this organization during my time at Belmont, A job posting or resume referral through Handshake (formerly CareerConnector)",,,,,,,,,,
Accounting,,8/31/2018,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,10/8/2018,,submitted,2018-12-06 19:47:56 UTC,Working,Deloitte,,Organization,Full-Time,Accounting,Audit Associate,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",9/1/2017,9/1/2017,9/1/2017,51000,Annual Salary,,,,,Survey Response,,,New position and a new employer / organization since graduation,,,,,,,,,,,,,
Accounting,,5/1/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-03-28 22:09:23 UTC,Working,Deloitte,Accounting,Organization,Full-Time,Accounting,Auditor,,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",8/3/2018,8/4/2018,9/2/2019,51000,Annual Salary,0,5000,TRUE,,Survey Response,0,Only 1 position,New position and a new employer / organization since graduation,This is a professional position that aligns with my long term career goals,5,"Having an internship or experiential education experience with this organization during my time at Belmont, One of my professors or my academic advisor",,,,,,,,,Part-time job,5
Accounting,,5/6/2019,Masters,College of Business,,,U.S. Citizen,,,,,,Accounting,,Masters,5/1/2019,,submitted,2019-12-11 21:12:32 UTC,Working,Cherry Bekaert LLP,Accounting,Organization,Full-Time,Accounting,Audit Staff,Yes,,,,,,,,,,,,,"Nashville, Tennessee, United States of America",10/1/2018,10/1/2018,8/1/2019,51000,Annual Salary,,,,,Survey Response,,,,,,,,,,,,,,,,
